线路6,20150101,6,618
线路6,20150101,7,1975
线路6,20150101,8,2906
线路6,20150101,9,2364
线路6,20150101,10,2008
线路6,20150101,11,1771
线路6,20150101,12,1745
线路6,20150101,13,1842
线路6,20150101,14,2072
线路6,20150101,15,2102
线路6,20150101,16,2317
线路6,20150101,17,2592
线路6,20150101,18,2451
线路6,20150101,19,1510
线路6,20150101,20,1291
线路6,20150101,21,1101
线路6,20150102,6,619
线路6,20150102,7,1950
线路6,20150102,8,2636
线路6,20150102,9,2311
线路6,20150102,10,1990
线路6,20150102,11,1817
线路6,20150102,12,1799
线路6,20150102,13,1897
线路6,20150102,14,2127
线路6,20150102,15,2156
线路6,20150102,16,2372
线路6,20150102,17,2636
线路6,20150102,18,2464
线路6,20150102,19,1540
线路6,20150102,20,1321
线路6,20150102,21,1130
线路6,20150103,6,767
线路6,20150103,7,1866
线路6,20150103,8,2484
线路6,20150103,9,2374
线路6,20150103,10,2149
线路6,20150103,11,1963
线路6,20150103,12,1946
线路6,20150103,13,2035
线路6,20150103,14,2220
线路6,20150103,15,2250
线路6,20150103,16,2421
线路6,20150103,17,2568
线路6,20150103,18,2409
线路6,20150103,19,1632
线路6,20150103,20,1413
线路6,20150103,21,1223
线路6,20150104,6,1168
线路6,20150104,7,3021
线路6,20150104,8,3267
线路6,20150104,9,2364
线路6,20150104,10,1979
线路6,20150104,11,1840
线路6,20150104,12,1717
线路6,20150104,13,1888
线路6,20150104,14,2024
线路6,20150104,15,2064
线路6,20150104,16,2367
线路6,20150104,17,3024
线路6,20150104,18,2853
线路6,20150104,19,1562
线路6,20150104,20,1321
线路6,20150104,21,1135
线路6,20150105,6,1346
线路6,20150105,7,3641
线路6,20150105,8,3975
线路6,20150105,9,2551
线路6,20150105,10,1964
线路6,20150105,11,1763
线路6,20150105,12,1627
线路6,20150105,13,1794
线路6,20150105,14,1924
线路6,20150105,15,1963
线路6,20150105,16,2311
线路6,20150105,17,3095
线路6,20150105,18,2965
线路6,20150105,19,1511
线路6,20150105,20,1258
线路6,20150105,21,1078
线路6,20150106,6,1305
线路6,20150106,7,3428
线路6,20150106,8,3938
线路6,20150106,9,2477
线路6,20150106,10,1942
线路6,20150106,11,1755
线路6,20150106,12,1619
线路6,20150106,13,1790
线路6,20150106,14,1927
线路6,20150106,15,1971
线路6,20150106,16,2306
线路6,20150106,17,3053
线路6,20150106,18,2923
线路6,20150106,19,1588
线路6,20150106,20,1306
线路6,20150106,21,1117
线路6,20150107,6,1159
线路6,20150107,7,3401
线路6,20150107,8,3914
线路6,20150107,9,2501
线路6,20150107,10,1921
线路6,20150107,11,1719
线路6,20150107,12,1597
线路6,20150107,13,1770
线路6,20150107,14,1906
线路6,20150107,15,1945
线路6,20150107,16,2294
线路6,20150107,17,3078
线路6,20150107,18,2940
线路6,20150107,19,1584
线路6,20150107,20,1246
线路6,20150107,21,1072
线路11,20150101,6,1035
线路11,20150101,7,3329
线路11,20150101,8,4425
线路11,20150101,9,3902
线路11,20150101,10,3235
线路11,20150101,11,2831
线路11,20150101,12,2664
线路11,20150101,13,2749
线路11,20150101,14,2763
线路11,20150101,15,2808
线路11,20150101,16,3051
线路11,20150101,17,3391
线路11,20150101,18,3308
线路11,20150101,19,1945
线路11,20150101,20,1643
线路11,20150101,21,1438
线路11,20150102,6,889
线路11,20150102,7,3135
线路11,20150102,8,4074
线路11,20150102,9,3885
线路11,20150102,10,3286
线路11,20150102,11,2882
线路11,20150102,12,2730
线路11,20150102,13,2814
线路11,20150102,14,2829
线路11,20150102,15,2874
线路11,20150102,16,3116
线路11,20150102,17,3457
线路11,20150102,18,3374
线路11,20150102,19,2010
线路11,20150102,20,1797
线路11,20150102,21,1570
线路11,20150103,6,707
线路11,20150103,7,2550
线路11,20150103,8,3565
线路11,20150103,9,3821
线路11,20150103,10,3380
线路11,20150103,11,2976
线路11,20150103,12,2839
线路11,20150103,13,2932
线路11,20150103,14,2925
线路11,20150103,15,2912
线路11,20150103,16,3154
线路11,20150103,17,3301
线路11,20150103,18,3209
线路11,20150103,19,1970
线路11,20150103,20,1791
线路11,20150103,21,1579
线路11,20150104,6,1437
线路11,20150104,7,3820
线路11,20150104,8,4851
线路11,20150104,9,3956
线路11,20150104,10,3285
线路11,20150104,11,2580
线路11,20150104,12,2088
线路11,20150104,13,2433
线路11,20150104,14,2724
线路11,20150104,15,2713
线路11,20150104,16,3211
线路11,20150104,17,4000
线路11,20150104,18,3947
线路11,20150104,19,2079
线路11,20150104,20,1760
线路11,20150104,21,1603
线路11,20150105,6,1791
线路11,20150105,7,4848
线路11,20150105,8,5590
线路11,20150105,9,4041
线路11,20150105,10,3203
线路11,20150105,11,2470
线路11,20150105,12,1940
线路11,20150105,13,2276
线路11,20150105,14,2589
线路11,20150105,15,2577
线路11,20150105,16,3076
线路11,20150105,17,4082
线路11,20150105,18,4035
线路11,20150105,19,2087
线路11,20150105,20,1533
线路11,20150105,21,1442
线路11,20150106,6,1701
线路11,20150106,7,4677
线路11,20150106,8,5560
线路11,20150106,9,3964
线路11,20150106,10,3148
线路11,20150106,11,2423
线路11,20150106,12,1911
线路11,20150106,13,2214
线路11,20150106,14,2493
线路11,20150106,15,2528
线路11,20150106,16,3033
线路11,20150106,17,3983
线路11,20150106,18,3944
线路11,20150106,19,2059
线路11,20150106,20,1606
线路11,20150106,21,1508
线路11,20150107,6,1530
线路11,20150107,7,4586
线路11,20150107,8,5395
线路11,20150107,9,3854
线路11,20150107,10,3025
线路11,20150107,11,2399
线路11,20150107,12,1916
线路11,20150107,13,2191
线路11,20150107,14,2457
线路11,20150107,15,2528
线路11,20150107,16,3098
线路11,20150107,17,4135
线路11,20150107,18,4097
线路11,20150107,19,2121
线路11,20150107,20,1598
线路11,20150107,21,1454
